Code	Classification
77700786	PETROLINA
77700787	PETROLINA
77700788	PETROLINA
77700789	PETROLINA
77700790	PETROLINA
77700791	PETROLINA
77700792	PETROLINA
77700793	PETROLINA
77700794	PETROLINA
77700795	PETROLINA
77700796	PETROLINA
77700797	PETROLINA
77700798	PETROLINA
77700799	PETROLINA
77700800	PETROLINA
77700801	PETROLINA
77700802	PETROLINA
77700803	PETROLINA
77700804	PETROLINA
77700805	PETROLINA
77700806	INTERNAL
77700807	CLOSED
77700808	CLOSED
77700809	CLOSED
77700810	EKO
77700811	CUSTOMER
77700812	FROZEN
77700813	CLOSED
77700814	FROZEN
77700815	CLOSED
77700816	PETROLINA
77700817	FROZEN
77700818	CLOSED
77700819	ENGAGE
77700820	CUSTOMER
77700821	CLOSED
77700822	CLOSED
77700823	CUSTOMER
77700824	CLOSED
77700825	CLOSED
77700826	CUSTOMER
77700827	CLOSED
77700828	CUSTOMER
77700829	CLOSED
77700830	CLOSED
77700831	POTENTIAL
77700832	POTENTIAL
77700833	POTENTIAL
77700834	CLOSED
77700835	CUSTOMER
77700836	CLOSED
77700837	CLOSED
77700838	CLOSED
77700839	CLOSED
77700840	POTENTIAL
77700841	CUSTOMER
77700842	POTENTIAL
77700843	CUSTOMER
77700844	CLOSED
77700845	FROZEN
77700846	CUSTOMER
77700847	CUSTOMER
77700848	POTENTIAL
77700849	POTENTIAL
77700850	CLOSED
77700851	CUSTOMER
77700852	CUSTOMER
77700853	FROZEN
77700854	CUSTOMER
77700855	INTERNAL
77700856	CLOSED
77700857	CUSTOMER
77700858	CLOSED
77700859	CLOSED
77700860	CLOSED
77700861	CUSTOMER
77700862	CUSTOMER
77700863	CLOSED
77700864	POTENTIAL
77700865	CUSTOMER
77700866	CLOSED
77700867	CLOSED
77700868	CUSTOMER
77700869	CLOSED
77700870	CLOSED
77700871	FROZEN
77700872	CLOSED
77700873	POTENTIAL
77700874	CUSTOMER
77700875	CLOSED
77700876	CLOSED
77700877	CUSTOMER
77700878	CLOSED
77700879	CLOSED
77700880	FROZEN
77700881	FROZEN
77700882	CLOSED
77700883	EKO
77700884	FROZEN
77700885	CUSTOMER
77700886	CUSTOMER
77700887	CLOSED
77700888	CLOSED
77700889	CLOSED
77700890	CLOSED
77700891	CLOSED
77700892	CLOSED
77700893	CLOSED
77700894	EKO
77700895	PETROLINA
77700896	CLOSED
77700897	CLOSED
77700898	CLOSED
77700899	CLOSED
77700900	CLOSED
77700901	CLOSED
77700902	CLOSED
77700903	CLOSED
77700904	CLOSED
77700905	CLOSED
77700906	PETROLINA
77700907	INTERNAL
77700908	PETROLINA
77700909	FROZEN
77700910	CUSTOMER
77700911	CLOSED
77700912	CLOSED
77700913	CLOSED
77700914	CUSTOMER
77700915	CLOSED
77700916	CUSTOMER
77700917	POTENTIAL
77700918	CUSTOMER
77700919	POTENTIAL
77700920	FROZEN
77700921	FROZEN
77700922	CLOSED
77700923	CLOSED
77700924	CLOSED
77700925	CUSTOMER
77700926	POTENTIAL
77700927	FROZEN
77700928	CUSTOMER
77700929	CUSTOMER
77700930	FROZEN
77700931	POTENTIAL
77700932	FROZEN
77700933	CUSTOMER
77700934	CLOSED
77700935	CLOSED
77700936	CLOSED
77700937	CUSTOMER
77700938	FROZEN
77700939	CLOSED
77700940	FROZEN
77700941	EKO
77700942	CUSTOMER
77700943	FROZEN
77700944	POTENTIAL
77700945	CUSTOMER
77700946	CLOSED
77700947	FROZEN
77700948	FROZEN
77700949	CUSTOMER
77700950	CUSTOMER
77700951	CLOSED
77700952	CLOSED
77700953	POTENTIAL
77700954	POTENTIAL
77700955	CLOSED
77700956	CUSTOMER
77700957	CUSTOMER
77700958	FROZEN
77700959	FROZEN
77700960	FROZEN
77700961	FROZEN
77700962	CUSTOMER
77700963	POTENTIAL
77700964	CLOSED
77700965	PETROLINA
77700966	ENGAGE
77700967	CUSTOMER
77700968	POTENTIAL
77700969	FROZEN
77700970	FROZEN
77700971	CUSTOMER
77700972	CUSTOMER
77700973	CUSTOMER
77700974	CUSTOMER
77700975	FROZEN
77700976	CLOSED
77700977	CLOSED
77700978	POTENTIAL
77700979	CLOSED
77700980	CLOSED
77700981	CUSTOMER
77700982	POTENTIAL
77700983	CUSTOMER
77700984	CLOSED
77700985	CLOSED
77700986	EKO
77700987	CUSTOMER
77700988	CUSTOMER
77700989	FROZEN
77700990	CUSTOMER
77700991	CUSTOMER
77700992	CLOSED
77700993	CLOSED
77700994	CLOSED
77700995	CLOSED
77700996	CUSTOMER
77700997	CLOSED
77700998	PETROLINA
77700999	CLOSED
77701000	CLOSED
77701001	CLOSED
77701002	CUSTOMER
77701003	CUSTOMER
77701004	CLOSED
77701005	FROZEN
77701006	CUSTOMER
77701007	INTERNAL
77701008	POTENTIAL
77701009	POTENTIAL
77701010	CUSTOMER
77701011	CUSTOMER
77701012	CLOSED
77701013	CLOSED
77701014	CLOSED
77701015	POTENTIAL
77701016	CLOSED
77701017	CUSTOMER
77701018	CLOSED
77701019	CLOSED
77701020	CUSTOMER
77701021	FROZEN
77701022	POTENTIAL
77701023	CLOSED
77701024	CUSTOMER
77701025	CLOSED
77701026	FROZEN
77701027	FROZEN
77701028	CLOSED
77701029	CUSTOMER
77701030	EKO
77701031	FROZEN
77701032	CUSTOMER
77701033	CUSTOMER
77701034	POTENTIAL
77701035	FROZEN
77701036	CLOSED
77701037	CUSTOMER
77701038	POTENTIAL
77701039	CLOSED
77701040	CUSTOMER
77701041	POTENTIAL
77701042	FROZEN
77701043	FROZEN
77701044	POTENTIAL
77701045	FROZEN
77701046	FROZEN
77701047	CLOSED
77701048	CLOSED
77701049	INTERNAL
77701050	POTENTIAL
77701051	FROZEN
77701052	POTENTIAL
77701053	CUSTOMER
77701054	FROZEN
77701055	FROZEN
77701056	FROZEN
77701057	CLOSED
77701058	FROZEN
77701059	CLOSED
77701060	CLOSED
77701061	CLOSED
77701062	POTENTIAL
77701063	POTENTIAL
77701064	POTENTIAL
77701065	POTENTIAL
77701066	POTENTIAL
77701067	CLOSED
77701068	POTENTIAL
77701069	CLOSED
77701070	CLOSED
77701071	POTENTIAL
77701072	POTENTIAL
77701073	CUSTOMER
77701074	POTENTIAL
77701075	CLOSED
77701076	POTENTIAL
77701077	POTENTIAL
77701078	CLOSED
77701079	CLOSED
77701080	FROZEN
77701081	POTENTIAL
77701082	POTENTIAL
77701083	CUSTOMER
77701084	CUSTOMER
77701085	POTENTIAL
77701086	POTENTIAL
77701087	CLOSED
77701088	CUSTOMER
77701089	FROZEN
77701090	FROZEN
77701091	POTENTIAL
